baseccy,exch,drawf,drawv,drawmin,depf,depv,depmin,tradev
USD,bitstamp,1.9,0,0,0,0.001,15,0.0036
BTC,bitstamp,0.001,0,0,0.001,0,0,0
USD,bitfinex,0,0.001,20,0,0.001,0,0.002
BTC,bitfinex,0.001,0,0,0.001,0,0,0
USD,btce,0,0.01,0,0,0.01,0,0.002
BTC,btce,0.001,0,0,0.001,0,0,0
USD,hitbtc,9,0,0,9,0,0,0.001
BTC,hitbtc,0.001,0,0,0.001,0,0,0
USD,kraken,9,0,0,9,0,0,0.002
BTC,kraken,0.001,0,0,0.001,0,0,0
USD,lakebtc,5,0.005,0,0,0,0,0.005
BTC,lakebtc,0.001,0.005,0,0.001,0,0,0
USD,itbit,1.9,0,0,0,0,0,0.005
BTC,itbit,0.001,0,0,0.001,0,0,0
USD,citigold,20,0,0,0,0,0,0
USD,atlas,0,0,0,0,0,0,0.002
BTC,atlas,0.0005,0,0,0.0005,0,0,0
USD,okcoin,0,0,15,0,0,0,0.0020
BTC,okcoin,0.0005,0,0,0.0005,0,0,0
USD,coinsetter,0,0,0,0,0,0,0.0025
BTC,coinsetter,0.0005,0,0,0.0005,0,0,0
