exch,oburl
bitstamp,https://www.bitstamp.net/api/order_book/
bitfinex,https://api.bitfinex.com/v1/book/<SYM>
hitbtc,http://api.hitbtc.com/api/1/public/<SYM>/orderbook
btce,https://btc-e.com/api/2/<SYM>/depth
lakebtc,https://www.lakebtc.com/api_v1/bcorderbook
itbit,https://www.itbit.com/api/v2/markets/<SYM>/orders/
kraken,https://api.kraken.com/0/public/Depth?pair=<SYM>
okcoin,https://www.okcoin.com/api/depth.do?symbol=<SYM>&ok=1
cryptsy,http://pubapi1.cryptsy.com/api.php?method=singlemarketdata&marketid=2
bittrex,https://bittrex.com/api/v1.1/public/getorderbook?market=<SYM>&type=both&depth=50 
